Bike,Description,Price,Year,Location,State,Listed,Source,Link
KTM 250,"2003 KTM 250 EXC RFS2003 KTM 250 EXC RFS for sale. It has a ktm 351 factory big bore kit, aftermarket header pipe, devol radiator guards, new tires, new grips, powernow intake spacer, scotts sharkfin, gpr stabilizer, renthal bars, e-line carbonfiber pipe guard, and Clar [...]","$2,800",2003,Long Beach,CA,08/10/17 6:34 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/04bb3ff1e61f5b13f371927342f06e03)
CR125,"2001 Cr125Cr125 with new top end, reeds, carb, jets, fork seals, grips, and brand new all black plastics that haven't been put on yet that are still in the box. Really would like to trade for 250 4 stroke. This bike can outrun 250 4 strokes. It's just too much [...]","$1,500",2001,Atlanta,GA,08/07/17 8:58 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/04c0cb739ed58716057ecc68f309dfc0)
YZ250,"YZ250 200707 yz250 Super low hour on original piston, sprockets, and filter Has a few tasteful aftermarket parts Brand new mx51 tires, just took the original tires off Shoot me a text or give me call 316 308 17four8","$3,500",2007,Omaha,NE,08/10/17 9:46 pm (21 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/05125f5b22a3c5757b8b74bc7c3260a6)
YZ250,2003 Yamaha YZ250Here is a Yamaha YZ250 up For Sale..It runs and drives great.. Newly rebuilt 2 stroke motor in excellent condition.. 1700 obo,"$1,650",2003,Dyer,IN,08/09/17 1:18 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/05764fd2dff0acb33c37f66cd5a96fe6)
KTM 125 SX,"2012 Ktm 125 SXUp for sale is my 2012 ktm 125sx, bike has been completely gone through and needs nothing. Clean tight and ready for the season. Fresh Top End with 5 hours on it. I've always ran 32:1 in it Full FMF exhaust Fatty pipe with Turbocore2 silencer V-Fo [...]","$3,999",2012,Albion,NY,08/11/17 7:50 am (11 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/058bc67158ca22275e7a9e513afc1847)
YZ250,"1981 Yamaha YZ250 YZ250H Mint Condition Vintage MX Bike 100% original1981 Yamaha YZ250 YZ250H Mint Condition Vintage MX Bike. 100% original and numbers matching look in the pictures. This bike is from an estate sale, it was kept inside, taken care of perfectly and very low hours. I personally have gone though and touc [...]","$5,000",1981,Bedford,TX,08/08/17 12:58 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/05c8fdee9252bedb1201dcd0bde65206)
250XC,"2014 ktm 250xc with OEM top end kit in boxI have 2014 ktm 250xc for sale. has the better more wanted 2011 front forks of the sx bike set up for 175 guy has been really adjustable for me on track and trails. full fmf exhaust, plastic cycra skid plate, basically new tires. Also have top end ki [...]","$4,900",2014,Roswell,GA,08/10/17 12:38 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0649415e4e59e4ab2f4c26120334cbcd)
CR250,"2002 Honda CR250r Green StickerUp for sale is my 2002 Honda CR250r. This is the last year that qualifies for the California Green Sticker which allows you to ride year round on state parks and trails. Last year I replaced the Cylinder, Piston, rings, clutch, clutch basket, carb, [...]","$2,500",2002,Rolling Hills Estates,CA,08/09/17 3:02 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/068100e1e59df1e57f7744d4b2e80f0d)
300XC-W,"2007 KTM 300 XCW Dirt bikeSelling my 2007 KTM 300 XCW Two stroke bike. Has low hours. Aprox 50. Runs great and is in excellent condition. Super clean and powerful. All stock besides Pro Taper handlebars, Carbon Fiber Exhaust Guard, Micron Exhaust , Hand Guards. Always well ma [...]","$2,600",2007,Orlando,FL,08/10/17 11:19 pm (20 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/068c661376076847774e9372331a662c)
KX125,"1998 KX1251998 kx125. new piston, gaskets, radiators, seat cover, rear wheel bearings, swing arm bearings, rear tire. kick start skips sometimes. $1100","$1,100",1998,Stillwater,WI,08/11/17 12:03 am (19 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/06dbdc21f75fa9585ee7e1eabbe4e2e4)
CR250,"2003 Honda CR250R woods bikeNOTE TO SCAMMERS: Don't bother. All meetings will take place at the local county sheriff's office which is just down the street from me. You won't get me or my bike, and I'm retired, so I don't have anything better to do than spend countless hours hu [...]","$2,375",2003,"Hartsville, TN",TN,08/10/17 2:46 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/074994bfb8d6ad1f775901f1e5134fc7)
KDX 200,for sale 1991 kdx200 off road enduroFor sale 1991 kdx200 off road titled enduro may consider trades for other enduros 100cc-650cc,"$1,100",1991,Maspeth,NY,08/07/17 6:24 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/07fed4e6923d477b94042556ee126cc7)
300XC,"Street Legal 2011 KTM 300 XC 2 Stroke electric start - Extremely Rare�One of a kind, 2011 KTM 300xc two stroke with clean Nevada street legal title. Electric start, new top end 20 hrs ago, OEM compression test, 6 speed. Fresh Motul ester oil change, always garaged. Tons of smooth power, adjustable power valve, two-stro [...]","$4,999",2011,NW Vegas,NV,08/07/17 6:41 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0898c39299461c0be9f4cd4cbdfe1f4f)
KX 500,1986 kx 500Runs good just rebuilt only about a hour on it. Pretty good shape. FMF platinum series pipe.has a lil leak at the shifter seal and somebody welded the ft sprocket to shaft. I cant start it to much compression for me to kick so just sits. Fast bike. 8 [...],"$1,700",1986,Warren,MI,08/07/17 5:51 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/08ee7f7d69a7a0d0ea774cedcc426257)
KTM 300,1998 KTM 300 EXCAverage bike in average condition.,"$1,800",1998,Newhall,TX,08/08/17 2:28 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/090e0e33349ef6fcc3fc4a7f53308bcb)
YZ125,2001 Yamaha yz125Runs great... rides great... super fast... starts on first kick... bought from cliffs saws and cycles 2 years ago and has only been ridin a couple of times. Any questions just ask 1500 OBO... may trade???,"$1,500",2001,Baker city,ID,08/08/17 7:19 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/097a28958ae95994ae81076ca4139739)
KTM 525,05 ktm 525For sale KTM 525 $2500 show contact info call or text for more info,"$2,500",2005,Honolulu,HI,08/08/17 12:46 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/09e6f0a0d24fc1f9f423fbdd2a8ec21b)
RM125,2006 SUZUKI RM125Selling a super clean Suzuki RM125 with low hours that has been well taken care of. The bike currently has a 150 big bore kit on it with about 10 minutes of ride time on new top end & about 30 hours on rest of motor. The bike will come with an extra [...],"$3,000",2006,PEORIA,AZ,08/09/17 10:31 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0a011dc6a393b01517a08f129b5a66ed)
CR500,Cr500I have 1995 cr500 with a paddle tire a new front and rear tire. It also has tbt suspension set up for a 215lb rider for trail riding. It has a magura hydraulic clutch. It also has a new air filter and a boysen carbon fiber reed valves. It also acerbi [...],"$2,900",1995,Lynnwood,WA,08/07/17 3:33 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0a2d5179391445695bcb81e77af9b113)
KDX 200,1989 kdx 200kdx 200 suspension just service new heavy springs front and back for 200 pound rider also have stock springs that go with it. took bike apart clean and grease it low hour bike .new handlebars grips and brake pads ready to ride. will consider a larger [...],"$1,100",1989,willamina,OR,08/07/17 2:00 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0a3da920ec8e46e9b3cc9f6ec2fd8016)
CR250,Vintage 1979 Honda CR250R Red RocketI am selling my 1979 Honda CR250R. It was completely restored in 2011 and lightly used since then. It always starts on first or second kick. It needs nothing except a rider. If your reading this then its still for sale. send a email or text if inter [...],"$2,000",1979,Owings,DC,08/08/17 10:32 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0ae31354f4c810a820e32977a6756ce8)
KTM 525,"2010 KTM 530 EXC 35th Annv EditionExcellent condition 530 EXC plated with current CA registration. Low miles 4600 and hours 168. Runs great and lots of power. Extras: 3.1 gallon Acerbis tank plus stock tank, Leo Vince Titanium X3 exhaust, Scotts under the bars stabilizer mount, Baja [...]","$7,000",2010,Roseville,CA,08/08/17 2:57 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0ae912469b88c1c849738cb95bf4e890)
YZ125,"For Sale or trade 2001 Yamaha YZ144 Big Bore YZ 125 Yz125For sale or trade 2001 Yamaha YZ125 clean bike, Low hours on rebuilt 144cc engine. Full FMF Exhaust, Hinson clutch, 6 Speed, Runs Awesome, New Brakes, Newer Tires, Etc. Runs great Needs Nothing! Will trade for other bikes or quads or powersports of s [...]","$1,850",2001,Cambridge,MN,08/10/17 9:42 pm (21 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0aff192358e11916ca727fb00d6b7f76)
KDX 250,"1994 KAWASAKI KDX2501994 Kawasaki KDX250 Enduro 2-stroke Jeff Fredette tuned suspension set up for 220 lb rider. (factory shock & springs included) FMF Pipe & Silencer, Boyeson Reeds, Jetted Geared for tight technical trails (factory sprockets included) Appr [...]","$1,800",1994,Sterling Heights,MI,08/08/17 12:39 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0b7316fede83c92becb97a60c4ed2673)
KX250,"2000 kx250 Kx 250 OBO2000 kx250, son going to school soon and no time to ride. New top end installed 2 -3 hours ago. Bike starts right up and has no leaks.","$1,800",2000,Elizabeth,CO,08/10/17 3:11 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0bb79ea6275071205e7621c8b2c7948a)
CR125,"Cr125 01Cr125 01, green sticker bike, ride all year, needs new owner, cash only, no trades.","$1,700",2001,Watsonville,CA,08/10/17 2:07 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0c0526f0d141817a7b79172e83714d1a)
YZ125,2001 YZ 125 for sale. Must read for mods and details!2001 YZ 125 for sale I bought this bike not really having any idea what it was. I was just looking for a two stroke bike to ride around with the kids on their little ones. I bought it because of how immaculate it was and it was what I thought I was [...],"$2,500",2001,Indianapolis,IN,08/07/17 9:07 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0c2964add0edccd404b805385ecb4866)
RM250,"2001 Suzuki RM250 2 stroke2001 Susuki RM250 - 2 stroke Green Sticker bike - The bike is in good condition, starts on the first kick, runs great, no issue at all. Title in hand and the registration is good until 2019. If interested, please contact me at show contact info","$2,350",2001,dublin / pleasanton / livermore,CA,08/11/17 3:44 pm (3 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0cf3b85b6482a0acc5e672608920ea27)
YZ125,2002 Yamaha YZ 1252002 Yamaha Yz125 runs great starts first kick. Bike is clean and rides great ! Feel free to contact me with questions. $1700,"$1,700",2002,Denver,CO,08/08/17 12:28 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0d84ecf77756cd4f6cdf6628c2ca3192)
CR250,2007 cr 2502007 cr 250 fmf pipe silencer. . Oversize tank.. Total control suspension. Fly wheel weight.and more Nice bike low hrs . riding gear available. $4000 obo,"$4,000",2007,Dalton,GA,08/10/17 2:30 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0e088010e4a45840a17cc9dd4b9194bf)
YZ250,2006/2016 YZ2502006 YZ250. New plastic/airbox setup. Top end has one heat cycle on it. I need no bad karma. I'll gladly take the five minutes to pull the head off and show you a brand new piston. TBT suspension revalved for a solid B level harescramble rider. St [...],"$3,700",2006,Mullenix,WA,08/08/17 2:34 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0e0e3e7f7718a9029bb2d295808214b8)
250XC,"2014 KTM 250XC14 KTM 250xc bought brand new out of the crate Jan 1, 2015 from Neely KTM. Bike is in excellent condition, serviced every 2.00hrs. Never had pump gas ran through it. Top end has 2.00hrs on it rebuilt by JGR with all OEM KTM parts. Has PG woods race s [...]","$5,000",2014,Charlotte,NC,08/10/17 4:30 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0eaaf18f4a27caad7d509e42902e1403)
KTM 400,"KTM 400 MXCI have a 2001 KTM 400 MXC Race Model dirt bike for sale. I hate to sell It, but I wrecked my truck on an OHV trail and need to fix the transmission and front end suspension ASAP! It runs, but needs new tires and a carb cleaning. I suspect the main [...]","$2,000",2001,Sacramento,CA,08/10/17 6:37 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/103767530d2fc1fa130ca46e1838b8a3)
250XC,2007 KTM 250XCGreat condition KTM 250 XC. Bike is plated and ready to rip off road. bike is very clean and I just replaced the following... -Air filter - New Clutch Pack -Rebuilt Master Clutch Cylinder -Rebuilt Clutch Slave - Oil Change - Coolant Change Onl [...],"$2,700",2007,North Bend,WA,08/11/17 5:33 pm (1 hour ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/109f0405743f25744e286d14a3667bc6)
200XC-W,"KTM 200 xcw 2013 street legalHello, For sale is a 2013 KTM 200 xc-w this bike has many upgrades along with it street legal registration you can go anywhere your heart desires. I have owned the bike for over four years and really enjoyed it and it has been a proven race winner f [...]","$6,000",2013,Charleston,SC,08/08/17 3:43 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/10b6deaeee60164698f7fa72482613e9)
YZ250,"2005 Yamaha YZ250 2-Stroke - Extras!This is my personal 2005 Yamaha YZ 250 2 Stroke. This bike is completely decked out with all the big money extras. Suspension just gone through, top end new, damper, Recluse clutch, and on and on. FLORIDA TITLE IN MY NAME!!!! I HAVE STOCK TANK AND [...]","$3,499",2005,Tampa,FL,08/07/17 6:22 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/113d883e81e145cc79876a7c27bf462d)
KTM 250,2013 KTM 250 sxI have a 2013 KTM 250 sx has a lot of aftermarket parts such as Fmf fatty Fmf titanium 2 silencer V-force 4 reeds Tusk impact wheel kit Pro action suspension recently serviced for 145lb rider Recently installed all new bearings Renthal bars D [...],"$5,500",2013,Boardman,OH,08/07/17 3:51 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/11662b4019c91375125c26bc5d7bd3f9)
CR125,1982 Honda CR125 Vintage Red Racer Elsinore Rare Fast Fun1982 Honda CR125R in clean Condition. Starts easy and ready for race or trails,"$1,150",1982,Gresham,OR,08/08/17 4:44 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/118e807c37c5091679fe7450b4e99d5c)
150XC,"2013 KTM 150 SX dirt bikeFor Sale 2013 KTM 150 sx dirt bike Runs great, looks great Needs nothing $3500 Call Mike show contact info NO TEXTING PLEASE Yamaha Suzuki Honda Kawasaki motocross supercross","$3,500",2013,St Cloud,MN,08/08/17 1:36 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1386499f6298dc32e5e28c0edd2d1751)
300XC,2006 KTM 300 XCFor Sale: I have a 2006 KTM with the famous 300cc two stroke engine. -This has been a well-maintained bike and is ready to tackle any terrain Colorado has to offer. -Title in hand -Ready to ride -Street legal Dont miss out on a clean used KTM t [...],"$4,000",2006,Buena Vista,CO,08/07/17 1:26 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/13cf9c7b69f21f2fd0146e8c8325fef2)
YZ125,"2003 Yamaha YZ125, Almost NewPristine YZ125. Second owner, lightly trail ridden only. Probably 10 hours on this sweet bike, total. Starts first or second kick. Has the following upgrades: - FMF pipe and muffler -Works Connection frame guards - Good tires - Handguards - Bar [...]","$2,100",2003,Issaquah,WA,08/10/17 4:37 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1446d502b17a0bb08d254ad05fabe7d4)
YZ125,2004 Yamaha Yz 125Selling my 2004 Yamaha yz125. Cylinder and piston was changed 2 rides back. Almost new pirelli rear tire. Gold Forks and bars from Protaper contour. Rides excellent always starts right up. I have the pink in hand and in my name registered till June 2 [...],"$1,900",2004,Sacramento,CA,08/08/17 12:49 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/149b2f4edca6eae4ab10126d34044df6)
YZ250,"Yz 250 2003Yz250 fuel: gas transmission: manual 2003 yz250 great running bike! Lots of power! Like new rear tire. Moose levers, tusk break peddle and tusk shifter, fmf gold series pipe ( with carbon fiber protector) and fmf quite silencer. $1850 Pick up [...]","$1,850",2003,Dallas Ga,GA,08/10/17 12:24 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/14aaab9e88ace53b1b7f35ac7c4e1eb4)
CR250,"2003 Honda CR 250R 2 strokeBeautiful condition. Brand new tubes and tires. Garage keep, hardly ever used. Mechanical perfect, runs strong and fast. Current Registration and title in hand. In person, cash sale. No scams. $2900 OBO","$2,900",2003,Escondido,CA,08/07/17 2:41 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/14c29224a1b90f71eb0247c1a5df2261)
YZ250,"2013 YZ 250Very nice, clean bike ready to ride. Many extras. Low hours on bottom and top end.","$3,000",2013,Cedar lake,IN,08/07/17 1:27 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/14c88d7a7104294c22050362824f383e)
YZ125,Yz125New top end last year suspension set for 140 fmf shorty pipe,"$1,800",NA,Los Angeles,CA,08/08/17 12:41 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/14f207174d017dff8a43d94640a33a2f)
KX125,"1989 Kawasaki KX1251989 Kawasaki KX125 completely rebuilt motor, crank, new piston & rings, 1.5 hours run time just broken in, re-chrome cylinder, new pro-circuit pipe, suspension just serviced, new tires, ready to rip. Needs nothing but a rider. $1,500 I AM NOT I [...]","$1,500",1989,Cary,IL,08/09/17 11:29 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/153a35bc78e7bf165774b5cb88af6219)
CR250,2001 Honda CR250Very well maintained. Runs great. Clean title.,"$2,800",2001,Chandler,AZ,08/10/17 2:28 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/15db8af19834696f621e567ed82afe62)
KTM 525,03 ktm 525 excI have a ktm 525 exc up for sale. It is street legal and tags are up to date. Has a aftermarket triple clamp as well as fmf pipe. Comes with a box full of parts as well as the stock exhaust and 3 other saddles for the bike. Bike runs amazing starts r [...],"$4,000",2003,alameda,CA,08/08/17 1:33 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1660e154730a1ba28f5a54db403b869b)
Husky WR,"75 Husqvarna wr 250A great bike, well maintained, and ready to scramble. Hard to find on east coast. $2,100 or best offer.","$2,100",NA,Fairfield,CT,08/11/17 12:32 am (19 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/166217cb5d878c8b887ebca66a31e96a)
KX 500,"1994 Kawasaki KX 500Cool KX 500 2 stroke! Needs a little work, call for details. Come take a look or feel free to ask any questions. call ONLY, preferably after 6pm. No text no email. Loren (208) eight eight 0 - five 525. $750 FIRM",$750,1994,Nampa,ID,08/08/17 3:37 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/16e28f1dd4f468dcbc275303326f253d)
CR125,2005 Honda cr125r2005 Honda CR125R cr125 fresh piston and rings stock bore to freshen it up new tires new brakes all bearings are excellent freshly packed baffle new chain and sprockets starts first kick every time needs nothing but somebody to ride it Clean & Cl [...],"$1,900",2005,Maricopa,AZ,08/07/17 6:25 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/172db634908766522f54a213d84aa030)
250XC,"2014 Ktm 250xcHi I'm selling my 2014 Ktm 250xc, it's in great shape ready to ride. Has some aftermarket parts on it give me a call with any interest or questions. My name is Terron show contact info $5000 obo","$5,000",2014,russian river,CA,08/10/17 10:30 pm (21 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/175f5e98a63f4bfde7155391edc185ca)
YZ250,"03 yz 250I have a 2003 yz250 that was just completely rebuilt at a shop.bottom and top end 0 hours on it not even broke in yet! New plated cylinder , also has fmf fatty and v force reeds! Just registered thru June 2018 ! If you have any other question call Au [...]","$1,850",2003,Poway/santee,CA,08/10/17 8:24 pm (23 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1856a8412935264759be8a6b37fe792f)
CR250,SHOWROOM CONDITION 2003 Honda Cr 250rJust over 20 original hrs on bike since bought brand new in 2003. Flawless! You could eat off the motor. Many extras including lectron high volacity carb best aftermarket part for 2 stroke period. Forced to sell make me an offer,"$3,900",2003,SD,SD,08/09/17 6:07 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/186a7b1b856afb00301d5ab4107411f8)
YZ125,2002 yz125 DIRT BIKEYz125 bottom end is seized top end and cylinder still good need gone asap trades welcome pick up Dorchester,"$1,000",2002,Boston,MA,08/08/17 7:53 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/19889aed1eed9aee448fa5ddef406c03)
YZ250,1982 Yamaha YZ250I have a clean 1982 Yamaha YZ250. Runs great. Took it on trade and have no use for it. $1500,"$1,200",1982,McKinney,TX,08/09/17 11:38 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1a0313bc14788c6c2a0565736da675fc)
YZ125,2011 yamaha yz125 need it gone!!2011 yamaha yz125 redesign plastics. a lot of upgrades aluminium gram very fun bike. very quick and very light. selling for 2400 obo for quick sell trade price is 3300. bill of sale and vin inspection. runs perfect!!!! for more info call 70 [...],"$2,400",2011,Las Vegas,NV,08/10/17 8:17 pm (23 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1a93c7f0e57cdb1167e2bf3db7b12120)
KX250,"Kawasaki Kx 250Brand new pro x piston, paint, graphics, ebc brakes, cosmetic engine gaskets, clutch gaskets, rethnal bars, and Kyb suspension with fmf exhaust","$2,000",NA,fremont / union city / newark,CA,08/07/17 10:21 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1b963f3962f1ceccffb286fe09d30432)
KDX 200,"1995 Kawasaki KDX 200I got a Super clean 200KDX 2 stroke KAWASAKI, Clean NM title in hand, starts up 1st kick every time, bike is Super Fast, Fresh tune up, rebuilt carb. Please don't waist my time, bike is in excellent condition show contact info","$1,500",1995,East mountains,NM,08/08/17 7:20 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1ba852139fed2b0dd95cab2f3dda7287)
YZ125,"Clean Yamaha YZ125 19991999 YZ 125 Tires gold series 80% front/back, renthal black sprocket, Swing arm, bearings, and seals polished. Rebuilt brakes- very strong brakes. Powder coated frame dark gray, Rebuilt and re-valved suspension by TRE set for 175 lbs rider. Renthal f [...]",$950,1999,Norwalk,CA,08/08/17 12:06 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1bb4d11047e1fe467aa44c05dc4257a8)
YZ125,"2004 yz125 for sale or trade2004 yZ 125 ,piston and rings done 8 months ago , fmf exhaust system ,rental handle bars , Yamaha gripper seat, sun star sprockets ,newer graphics kit ,Yamaha cool blue chain .bike runs great needs nothing possible trades for something bigger or an 8 [...]","$1,800",2004,Staten Island,NY,08/08/17 1:30 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1ca5056b4c52df19d03334a59787074c)
CR500,"1996 Honda CR500 dirt bike, FMF pipe, nice1996 honda cr500r. Bike runs great. Fmf gnarly pipe and spark arrestor, pro taper bars, new grips. Nice shape. I dont think i need to mention that the bike is scary fast. Have title. NO trades. Bike comes with a brand new rear sand tire. All lowball [...]","$3,100",1996,Fall city,WA,08/07/17 10:25 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1cdc9714d7f64b4821a1cd88203263d0)
KDX 220,Kdx220 '98Selling my Kawasaki runs and starts fine only issue is the gas cap needs to be replaced. I have other photos just not on my iPad I will send more if seriously interested.,"$1,000",1998,Marysville,WA,08/10/17 1:23 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1d56c658dbc8b75a8927fd378fe079bf)
