Bike,Description,Price,Year,Location,State,Listed,Source,Link,Category_dual.sport,Category_enduro.bikes,Category_mini.bikes,Category_motocross.bikes,Category_trail.bikes
XR100,2003 Honda XR100R2003 Honda XR100R. Runs great! Starts right up! Always garaged - no sun damage. Have clean title. $900 firm. show contact info,$900,2003,Gilbert,AZ,08/10/17 4:02 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f26370d7811729fd53d2387a9689a56),0,0,1,0,0
Cobra 50,2014 Cobra p3 CX50 JrSelling one of my sons dirt bikes. He's outgrown it and my garage is overflowing so I need to thin the heard. It's a 2014 cobra CX50 Jr that I have installed p3 suspension on. I'm willing to sell it in either configuration Jr or p3 which ever you pre [...],"$1,200",2014,morgan hill,CA,08/10/17 3:31 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f269282d0dbc1401501236d5df8b759),0,0,1,0,0
125cc pit bike,125 Streetlegal Supermoto pitbikebrand new many upgrades top speed 65mph know one ever reads this so text or call,"$1,250",NA,Lewisville,TX,08/08/17 11:06 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f64af65ae0801cb6413a035ac85e609),1,0,1,0,0
,125 Streetlegal Supermoto pitbikebrand new many upgrades top speed 65mph know one ever reads this so text or call,"$1,250",NA,Lewisville,TX,08/08/17 11:06 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f64af65ae0801cb6413a035ac85e609),1,0,1,0,0
KTM 50,2015 KTM 50.2015. Ktm 50sx. new tires rental bars pro circuit exhaust pro circuit are 304 silencer. 2700$obo. show contact info,"$2,700",2015,Modesto,CA,08/11/17 1:39 am (16 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f6fe635927ac63e4ab9a2f97eddba0e),0,0,1,0,0
CRF70F,"crf 70 2004Selling my nephew's CRF70. It is in excellent condition. He just turned 10 and needs to move to a bigger bike. He has used this for the past 4 years and it was purchased out of Bastrop from someone whose kid's lost interest. It has a new rear tire, [...]",$775,2004,Round Rock,TX,08/11/17 12:12 am (17 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0fc14c2f10cfd9c4e1ac31416bb57a04),0,0,1,0,0
RM85,2003 Suzuki rm 100Clean super fast 2 stroke. Best offer call or text for more info. show contact info,"$2,000",2003,Sacramento,CA,08/07/17 1:52 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0fe8ecfc224bdc79d3f8fb0ede47b213),0,0,1,0,0
TTR 50,"Ttr502014 ttr50 I have a 2014 ttr 50 that my son has out grown, it's in great running condition and no problems at all. It has been modified with a DrD exhaust, cam,brand new front and rear Dunlop tires, stage 1 air filter, and jet kit. This is a great b [...]","$1,300",2014,Hempstead,TX,08/07/17 1:10 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0ff250bffec5688dd0bb912e79754573),0,0,1,0,0
KX100,"2012 Kawasaki KX 100Purchased new in January 2013. Raced once; practiced 5 times. Original grips, levers, plastics. V-force reeds. Pro-circuit silencer. Starts right up; runs great. Call Steve at show contact info","$2,350",2012,Auburn,CA,08/07/17 10:10 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/109bf783b6337b817c0c9e7345cd828e),0,0,1,0,0
KTM 50,"Ktm 50 mini adventure2007 Very little use. Still has warning stickers from the factory on it. Runs perfect. Has oil injection so no need to mix gas. No gears, hand brakes. Clear title. About the same size as a CRF 50. $1200 obo show contact info","$1,200",2007,Meridian,ID,08/08/17 2:26 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/10b668ca131bc5909920c3af781e155b),0,0,1,0,0
CRF100F,"Honda CRF 100 F / like new and ready to rideGuys this is a 07 Honda CRF 100 F that is the nicest used bike you will find. All the services are done and carb was cleaned, this bike is ready to ride. $1500 firm, no trades, not hurting for money so PLEASE serious buyers only, no tire kickers. Ki [...]","$1,500",2007,South Killeen TX,TX,08/08/17 1:30 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/115813f2a4ca14e565656348e206d2dc),0,0,1,0,0
KTM 85,"KTM 85All stock bike besides pro action suspension. New back tire, I have big wheels on it now .also have the stock wheels. Kid has out grown the bike. Nice shape . show contact info","$1,350",NA,"Baldwin, WI",WI,08/07/17 7:42 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/11804d799f90f31031749947ff4c7235),0,0,1,1,0
KTM 85,"KTM 85All stock bike besides pro action suspension. New back tire, I have big wheels on it now .also have the stock wheels. Kid has out grown the bike. Nice shape . show contact info","$1,350",NA,"Baldwin, WI",WI,08/07/17 7:42 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/11804d799f90f31031749947ff4c7235),0,0,1,1,0
TTR 90,"Yamaha TTR 90 (2005)This bike is in nice shape mechanically. Starts with little effort, however the electric start is not working. The cosmetics are a little weathered but in okay shape for its' years. Overall, a great little starter bike! We have recently added new s [...]",$699,2005,Loganville,GA,08/08/17 7:16 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1248b7885cb27a571ac559ea6e5d3e2a),0,0,1,0,0
XR70,"Xr 70 HONDA2000 xr 70, I have the title, its an awesome little bike... just laced and trued up new spokes in the rear wheel, new front and rear tubes, stock tires with plenty of tread left, cleaned and rebuilt carb, new fuel petcock, starts first kick, new air [...]","$1,000",2000,Bonney lake,WA,08/11/17 7:48 am (10 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/124fc3e39c275c593cb75ef69c864476),0,0,1,0,0
CRF150R,2015 crf 150rbI have a 2015 crf 150r (big wheel) for sale it was bought brand new Low hours(22.5 hours) Lexx xc exhaust tip with removable spark arrestor Only trail ridden Corwin jetted Text me at show contact info,"$3,500",2015,novato,CA,08/09/17 12:16 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/12a70696e09384079c134c95091c42f8),0,0,1,1,0
CRF150R,2015 crf 150rbI have a 2015 crf 150r (big wheel) for sale it was bought brand new Low hours(22.5 hours) Lexx xc exhaust tip with removable spark arrestor Only trail ridden Corwin jetted Text me at show contact info,"$3,500",2015,novato,CA,08/09/17 12:16 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/12a70696e09384079c134c95091c42f8),0,0,1,1,0
YZ85,2004 yz852004 yz85. Just changed the oil and cleaned the air filter. � Brand new Dunlop rear tire � Brand new plastics � Brand new graphics kit and seat � polished fmf shorty exhaust Bike starts first kick and runs great! (Cash only),"$1,200",2004,"Troy, TX",TX,08/10/17 12:40 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/12ac8e97d0f7b9846eb1ba95a39f1e72),0,0,1,1,0
YZ85,2004 yz852004 yz85. Just changed the oil and cleaned the air filter. � Brand new Dunlop rear tire � Brand new plastics � Brand new graphics kit and seat � polished fmf shorty exhaust Bike starts first kick and runs great! (Cash only),"$1,200",2004,"Troy, TX",TX,08/10/17 12:40 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/12ac8e97d0f7b9846eb1ba95a39f1e72),0,0,1,1,0
TTR 90,"2002 Yamaha TTR90 with Title one owner Excellent condition2002 Yamaha TTR90 with Title One owner excellent condition, 90cc four stroke with kick start. Bikes 100% stock one owner with Original Texas Title and All the stuff still from the dealer, manual books etc. Throttle jockey graphics, plastics, chain an [...]",$850,2002,Hurst,TX,08/10/17 7:43 pm (22 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1313e94e6a63ddd591792d9dfb4b94d2),0,0,1,0,0
KLX 125,Kawasaki KLX 125Like new 2004 Kawasaki KLX 125 with less than 100 hours total. Located in Highland call 231 Eight one Eight 0180,"$1,100",2004,Highland,MI,08/08/17 4:42 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/13699fac9b0e5e0ed97b7a2d2e99b847),0,0,1,0,1
KLX 125,Kawasaki KLX 125Like new 2004 Kawasaki KLX 125 with less than 100 hours total. Located in Highland call 231 Eight one Eight 0180,"$1,100",2004,Highland,MI,08/08/17 4:42 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/13699fac9b0e5e0ed97b7a2d2e99b847),0,0,1,0,1
PW50,"06 YAMAHA PW 502006 YAMAHA pw 50 for sale, needs a $12 throttle cable, runs great, $650 firm, my kid has out grown it, can text pics, CALLS ONLY show contact info",$650,2006,franklin,GA,08/09/17 11:25 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/13f1e59d7422890ad6c10c9ac4f3ba99),0,0,1,0,0
Cobra 50,"cobra cx 50cc race bike2016 King cx50.. $2900.. bike has a brand new zero hours complete motor rebuilt By PAX racing.(have receipts if needed)...brand new Crank. Every bearing seal and gasket brand new. Brand New water pump,bearings and seals. Brand new piston.. new comple [...]","$2,900",2016,Northampton,MA,08/07/17 3:39 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/147b08764e768ff40feb5f5862611c79),0,0,1,0,0
XR50,Honda xr5050cc with a big bor 88cc Tall seat Big bars New plastics Metal Mulisha graphics New foot pegs Extended swingarm 800 lb shock Big street tires Have key Runs like a raped ape. Want to trade for a automatic atv or golf cart No China junk. H [...],$850,NA,Burtonsville MD,MD,08/07/17 6:08 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/15123f9046ed2c06af15a113b44a305c),0,0,1,0,0
CRF150F,"04 crf 150fFor sale is a 2004 crf150f. CLEAN TITLE in my name. New tires this season. All stock except pro taper bars. Oil changed at the end of last season. This is my backyard scooter so it doesnt get ridden much, only had it out twice this season. $1400 cash [...]","$1,400",2004,Cincinnati,OH,08/08/17 7:14 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/154221d4276c407247793455cf8c71d6),0,0,1,0,1
CRF150F,"04 crf 150fFor sale is a 2004 crf150f. CLEAN TITLE in my name. New tires this season. All stock except pro taper bars. Oil changed at the end of last season. This is my backyard scooter so it doesnt get ridden much, only had it out twice this season. $1400 cash [...]","$1,400",2004,Cincinnati,OH,08/08/17 7:14 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/154221d4276c407247793455cf8c71d6),0,0,1,0,1
KLX 110,"Klx 110 custom buildIt's a 2007 Klx 110 with a stock motor, stock airbox, bbr cam, two bros pipe, pro taper big bar kit, takagawa oil cooler, handgaurds, two bros chain guide, Elka rear shock, msr suspension did the front forks the bike runs great and is alot of fun. Ca [...]","$1,500",2007,Metro airport,MI,08/09/17 1:06 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/161366e49355bcaf319af217190e952f),0,0,1,0,1
KLX 110,"Klx 110 custom buildIt's a 2007 Klx 110 with a stock motor, stock airbox, bbr cam, two bros pipe, pro taper big bar kit, takagawa oil cooler, handgaurds, two bros chain guide, Elka rear shock, msr suspension did the front forks the bike runs great and is alot of fun. Ca [...]","$1,500",2007,Metro airport,MI,08/09/17 1:06 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/161366e49355bcaf319af217190e952f),0,0,1,0,1
CRF150F,"Honda CRF150RB - CRF 150 RB Expert2012 Honda CRF 150RB. This is the expert/ big wheelversion. Recently serviced and upgraded including carb rebuild, new hot-start, front tire, spark plug, oil change and filters, chain, grips, etc. In great mechanical and cosmetic shape. This bike is [...]","$2,800",2012,Canton,GA,08/11/17 10:53 am (6 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17988c83ae8b8ce3100d176a1639cf58),0,0,1,1,1
CRF150R,"Honda CRF150RB - CRF 150 RB Expert2012 Honda CRF 150RB. This is the expert/ big wheelversion. Recently serviced and upgraded including carb rebuild, new hot-start, front tire, spark plug, oil change and filters, chain, grips, etc. In great mechanical and cosmetic shape. This bike is [...]","$2,800",2012,Canton,GA,08/11/17 10:53 am (6 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17988c83ae8b8ce3100d176a1639cf58),0,0,1,1,1
CRF150F,"Honda CRF150RB - CRF 150 RB Expert2012 Honda CRF 150RB. This is the expert/ big wheelversion. Recently serviced and upgraded including carb rebuild, new hot-start, front tire, spark plug, oil change and filters, chain, grips, etc. In great mechanical and cosmetic shape. This bike is [...]","$2,800",2012,Canton,GA,08/11/17 10:53 am (6 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17988c83ae8b8ce3100d176a1639cf58),0,0,1,1,1
110cc pit bike,"STREET LEGAL SSR 110 PIT BIKE. 10 HOURSlike new. has 10 hours . put 300 into it making it street legal. i know im not gonna get my money back i just need money atm. SSR SR110 Tops out at 55-60 new sprocket. aftermarket pipe., no muffler. comes with stock muffler if you want it. COME [...]","$1,000",2010,CHESTER,MA,08/08/17 10:33 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17a705df8c9ee122d4b227fe65806141),1,0,1,0,0
,"STREET LEGAL SSR 110 PIT BIKE. 10 HOURSlike new. has 10 hours . put 300 into it making it street legal. i know im not gonna get my money back i just need money atm. SSR SR110 Tops out at 55-60 new sprocket. aftermarket pipe., no muffler. comes with stock muffler if you want it. COME [...]","$1,000",2010,CHESTER,MA,08/08/17 10:33 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17a705df8c9ee122d4b227fe65806141),1,0,1,0,0
CRF70F,"HONDA CRF 70 Dirt BikeAwesome Honda 70/72cc Dirt Bike for person looking for cycling fun without a clutch to shift gears. Neutral, One down and two up transmission allows easy starts and shifting on the go without a clutch. Super easy to ride and has the high exhaust and [...]",$699,NA,Carlsbad,CA,08/09/17 11:57 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/17d684f98667ca48bd14ca1ec325dd05),0,0,1,0,0
CRF150R,Crf150r 2007 Honda crf150r2007 honda crf150r expert for sale Needs crank bearing replaced will not run until fixed. Including complete extra new top end worth 1300$ by itself. So at 1200$ for a complete bike plus a new top end that's a good deal. Bike has ton of upgrades C [...],"$1,200",2007,willow glen / cambrian,CA,08/11/17 4:50 am (12 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/1915f8c1e552a24d2afa4a4513850af5),0,0,1,1,0
